UniqueID,Q2,Q3,Q4,Q5,Q6,Q7,Q10,Q19,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q20
b6c2d8a8-58c5-4c9a-b001-7553bd930246,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
dfe2272d-c26d-4da7-9757-4225249dbb6f,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree
4ce5c778-61fe-4147-aa04-36d5066499fc,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree
d32960c7-caed-4bab-8d67-1767906416f5,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree
c72de1ea-666c-4079-a5be-60efd927682d,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree
8116cd11-8767-47f0-99e7-408395a6a112,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree
0193f6eb-be16-4434-a83e-f1899966ff57,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree
3f270ef7-2d79-4fbe-b845-00695b590edc,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree
3a28b109-4c27-41c8-bae9-7f09332140e0,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree
dbff032e-d555-4080-a9bc-c9584f43aba0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree
c8adc4cb-8445-4055-b0a2-f7eb0329609f,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly Agree